,barrio,Con muertos,Atropello,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Paso Elevado,Paso Inferior,Paso a Nivel,Pontón,Puente,Tramo de via,Tunel,Via peatonal,cluster
370,Santo Domingo Savio No. 2,0.0,53.0,0.0,0.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,3
371,Santo Domingo Savio No.1,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3
372,Sevilla,3.0,150.0,2.0,70.0,302.0,158.0,0.0,0.0,0.0,0.0,0.0,985.0,0.0,2.0,2
373,Simón Bolívar,0.0,28.0,3.0,20.0,201.0,25.0,0.0,1.0,0.0,0.0,0.0,293.0,0.0,0.0,1
374,Sin Inf,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
375,Sin Nombre,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3
376,Suburbano Aguas Frias,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3
377,Suburbano Altavista,0.0,7.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,3
378,Suburbano El Llano,1.0,2.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,3
379,Suburbano El Plan,0.0,4.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3
380,Suburbano La Cuchilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3
381,Suburbano La Loma,0.0,31.0,0.0,0.0,20.0,40.0,0.0,0.0,0.0,1.0,1.0,218.0,0.0,0.0,1
382,Suburbano La Palma-El Patio,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3
383,Suburbano Mirador del Poblado,0.0,2.0,0.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,3
384,Suburbano Palma Patio,0.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,23.0,0.0,0.0,3
385,Suburbano Palmitas,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3
386,Suburbano Pedregal alto,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,3
